municipal,avg_zoned_density,avg_actual_density,density_2020,land_area_sq_miles_2020
Acton,2.560649819494585,1.3191335740072203,1209.2,19.87
Arlington,8.475786190764966,1.7589014987438274,9004.1,5.14
Ashland,2.535115431348724,1.7951397326852976,1526.3,12.34
Bedford,4.513858695652174,1.4067934782608695,1052.8,13.66
Bellingham,1.8272412466333205,1.2718353212774145,923.8,18.34
Belmont,6.052499260573795,1.481662230109435,5872.4,4.65
Beverly,5.006021123284967,1.6247162175500938,2827.7,15.09
Bolton,0.9904009034443817,1.0163749294184077,284.0,19.95
Boston,31.638361915934738,2.272123859654539,13976.7,48.34
Boxborough,1.971130713712911,1.4731355252606255,535.3,10.29
Braintree,1.9576149425287357,1.492689909007259,2844.1,13.76
Brookline,16.69744491009869,3.0247397593619034,9347.8,6.76
Burlington,3.0226073850791257,1.617030896759608,2244.9,11.75
Cambridge,24.16466739367503,3.3963407245849995,18520.7,6.39
Canton,5.6382686362074885,1.2944005496392992,1300.0,18.75
Carlisle,1.0279840091376355,1.0388349514563107,342.9,15.27
Chelsea,20.37186839722306,3.2115907032900695,18380.8,2.22
Cohasset,2.3591439688715954,1.1828793774319066,856.5,9.79
Concord,4.245437769120361,1.2234980520811976,754.3,24.51
Danvers,5.649690691986764,1.5843763487268019,2115.3,13.28
Dedham,13.377780848417853,1.1864032057482383,2469.7,10.27
Dover,1.0819415448851775,1.0600208768267223,392.4,15.1
Duxbury,1.028000783238692,1.0853730174270608,678.9,23.7
Essex,1.4822934232715008,1.3117101937657962,230.0,14.0
Everett,11.602525469938298,2.2756097560975608,14366.2,3.42
Foxborough,2.1583614864864864,1.3758445945945945,937.7,19.86
Framingham,4.656149345954118,1.4283178860185368,2889.4,25.04
Franklin,3.61771904062653,1.1399902104747919,1248.6,26.64
Gloucester,8.275037691147965,1.3562351927632996,1134.8,26.2
Hamilton,4.297484822202949,1.0659150043365135,533.3,14.18
Hanover,1.9759091962010655,1.128793143386611,954.6,15.54
Hingham,2.986505351326198,1.1273460524274856,1093.8,22.2
Holbrook,2.5472972972972974,1.2300235017626322,1572.0,7.26
Holliston,3.319221723326919,1.1680564464400256,803.9,18.65
Hopkinton,1.3386643613572509,1.1847849578560623,715.3,26.23
Hudson,4.243955608402695,1.3030122869599683,1743.0,11.53
Hull,6.036873156342183,1.1703121159990169,3507.0,2.87
Ipswich,1.989712918660287,1.2011961722488038,429.4,32.11
Lexington,2.2593510833243506,1.1662175272178505,2096.5,16.43
Lincoln,2.0180645161290323,1.2619354838709678,487.1,14.4
Littleton,3.040249609984399,1.1700468018720749,614.0,16.52
Lynn,6.51640588510042,1.848902382064456,9428.5,10.74
Lynnfield,2.4426271403015587,1.161257347303859,1319.0,9.86
Malden,6.170743498017983,2.4016242869573623,13137.0,5.04
Manchester,5.3427179209528965,1.2328099621007038,300.0,9.2
Marblehead,5.521851638872915,1.2439620471535364,4668.0,4.38
Marlborough,4.488905145086564,1.7221748140924051,2003.5,20.86
Marshfield,2.238130642591609,1.2074349442379182,901.5,28.65
Maynard,5.808766233766233,1.5175324675324675,2063.0,5.21
Medfield,2.6600221483942414,1.0753045404208195,888.3,14.41
Medford,12.63016086853158,1.6315872890086378,7365.3,8.1
Medway,1.6233832107532336,1.2490489475019022,1136.8,11.54
Melrose,7.008518567815786,1.498469319845601,6367.1,4.68
Middleton,1.2979498861047836,1.074259681093394,727.2,13.45
Milford,3.3571733257500354,1.4262761268306554,2059.3,14.75
Millis,2.8541147132169575,1.2784704904405653,703.1,12.03
Milton,4.987368952886194,1.2173803208285967,2200.4,13.01
Nahant,4.7784,1.3016,3198.2,1.0
Natick,4.453933529659234,1.470445940260833,2473.8,14.96
Needham,1.1789303453852373,1.1296060991105463,2609.4,12.3
Newton,10.46516045186444,1.2529741077676697,4987.8,17.83
Norfolk,1.343125,1.01375,782.8,14.9
North Reading,3.9312542681538813,1.3221033462326428,1200.0,13.3
Norwell,3.0,1.0052008090147355,542.3,20.93
Norwood,6.131046361418114,1.6838404133180254,3045.7,10.38
Peabody,4.676765248056424,1.706740402340306,3355.6,16.24
Pembroke,1.9932432432432432,1.1143314366998578,842.7,21.79
Quincy,9.43274917258966,1.9699962020508925,6132.6,16.57
Randolph,3.9561254253767624,1.4899124939231891,3559.6,9.83
Reading,3.056504412183319,1.3778821520068318,2557.9,9.98
Revere,17.444132917964694,2.2144340602284527,10902.2,5.7
Rockland,2.765106769650159,1.5054520672421627,1775.2,10.03
Rockport,3.9402985074626864,1.4076285240464346,1000.6,6.99
Salem,5.105576208178439,2.2827687776141383,5362.9,8.29
Saugus,3.513064133016627,1.3292911613951743,2656.1,10.78
Scituate,6.406127588136542,1.0886961387800784,1107.5,17.21
Sharon,2.1583776839787117,1.1062580289961461,792.6,23.44
Sherborn,1.0,1.077092511013216,275.1,16.0
Somerville,51.51252103335643,2.625952687320598,19656.8,4.12
Southborough,4.015569250729809,1.165747648394421,745.9,14.01
Stoneham,5.45270389290118,1.4416064822969878,3864.3,6.02
Stoughton,1.595556782116738,1.5707189181730372,1820.3,16.09
Stow,1.9557562076749435,1.108352144469526,414.1,17.32
Sudbury,1.9983597594313833,1.1656642974302898,780.0,24.27
Swampscott,6.2667313288069835,1.3399612027158099,5000.3,3.02
Topsfield,1.4465116279069767,1.0842377260981912,552.1,11.9
Wakefield,10.214767818574513,1.4982451403887689,3664.8,7.39
Walpole,2.061527377521614,1.20835734870317,1289.9,20.45
Waltham,6.126750880811206,2.17066254189224,5117.9,12.74
Watertown,8.29454439930354,2.241874637260592,8834.5,4.0
Wayland,2.155928143712575,1.0222754491017965,926.8,15.04
Wellesley,4.040393303215519,1.1776508105235184,2948.8,10.02
Wenham,2.0,1.1978021978021978,610.0,7.6
Weston,1.5654328184202857,1.0142815505683473,704.6,16.82
Westwood,3.649978326831383,1.1983094928478544,1494.9,10.88
Weymouth,2.3183266380385095,1.636376229394653,3426.0,16.77
Wilmington,5.770073498821246,1.01206490084593,1375.7,16.97
Winchester,5.303829651994279,1.2162720483076435,3808.0,6.03
Winthrop,8.036406495547407,1.6891042430591934,9701.7,1.99
Woburn,5.792393359949569,1.5908804370666105,3231.3,12.65
Wrentham,3.39957378795951,1.1486414491209376,561.0,21.71
